Hours,Pass,Model1_Prediction,Model2_Prediction,Model3_Prediction,Model4_Prediction
0.5,0,0.12,0.22,0.01,0.53
0.75,0,0.23,0.27,0.09,0.51
1,0,0.31,0.28,0.13,0.96
1.25,0,0.35,0.17,0.15,0.75
1.5,0,0.42,0.42,0.2,0.5
1.75,0,0.52,0.08,0.21,0.82
1.75,1,0.52,0.34,0.27,0.99
2,0,0.55,0.1,0.31,0.87
2.25,1,0.62,0.37,0.32,0.78
2.5,0,0.66,0.26,0.38,0.62
2.75,1,0.7,0.11,0.4,0.99
3,0,0.73,0.48,0.43,0.89
3.25,1,0.75,0.13,0.51,0.96
3.5,0,0.77,0.42,0.52,0.57
4,1,0.8,0.09,0.6,0.55
4.25,1,0.82,0.11,0.61,0.91
4.5,1,0.83,0.41,0.62,0.95
4.75,1,0.88,0.48,0.72,0.91
5,1,0.91,0.42,0.74,0.51
5.5,1,0.91,0.09,0.77,0.86
