sepal_length,sepal_width,petal_length,petal_width,class,NumericClass,Model1_Prediction,Model2_Prediction,Model3_Prediction,Model4_Prediction
5.8,4,1.2,0.2,Iris-setosa,0,0,1,0,0
5.7,4.4,1.3,0.4,Iris-setosa,0,1,1,0,1
5.1,3.4,1.5,0.2,Iris-setosa,0,0,1,0,2
5.4,3.9,1.7,0.4,Iris-setosa,0,0,1,0,2
4.3,3,1.1,0.1,Iris-setosa,0,1,1,0,1
4.9,2.4,3.3,1,Iris-versicolor,1,1,1,1,0
5.9,3,4.2,1.5,Iris-versicolor,1,1,1,2,1
6.6,3,4.4,1.4,Iris-versicolor,1,2,1,1,2
5,2.3,3.3,1,Iris-versicolor,1,1,1,2,0
6.2,2.9,4.3,1.3,Iris-versicolor,1,1,1,1,0
5.8,2.7,5.1,1.9,Iris-virginica,2,1,1,2,1
7.2,3.6,6.1,2.5,Iris-virginica,2,1,1,1,2
6.4,3.2,5.3,2.3,Iris-virginica,2,2,1,2,0
7.4,2.8,6.1,1.9,Iris-virginica,2,2,1,1,1
6.1,2.6,5.6,1.4,Iris-virginica,2,2,1,2,1
